video_filename,url,title,length_seconds,publish_date,description,keywords,date,date_src,transcription_filename
video_249.mp4,https://www.youtube.com/watch?v=yoXaoorNgNk,"Cumhurbaşkanımız Erdoğan, şehit Uzman Çavuş Cihan Erat'ın cenaze töreninde konuştu",262,2020-02-07 00:00:00,,[],07.02.2020,live_stream,
video_250.mp4,https://www.youtube.com/watch?v=DzgicBHgy5A,"Cumhurbaşkanımız Erdoğan, Ukrayna-Türkiye İş Forumu'nda konuştu",2895,2020-02-03 00:00:00,,[],03.02.2020,live_stream,
video_251.mp4,https://www.youtube.com/watch?v=WPtky5eU3sw,"Cumhurbaşkanımız Erdoğan, 5. Anadolu Medya Ödülleri programında konuştu",1327,2020-01-30 00:00:00,,[],30.01.2020,live_stream,
video_252.mp4,https://www.youtube.com/watch?v=Jbj6jLNZ-kg,"Cumhurbaşkanımız Erdoğan, Türkiye-Senegal İş Forumu'nda konuştu",4525,2020-01-28 00:00:00,,[],28.01.2020,live_stream,
video_253.mp4,https://www.youtube.com/watch?v=A3XCYf2DbBI,"Cumhurbaşkanımız Erdoğan, Türkiye- Cezayir İş Forumu'nda konuştu",973,2020-01-26 00:00:00,,[],26.01.2020,live_stream,
video_254.mp4,https://www.youtube.com/watch?v=zwavmd2zaWg,"Cumhurbaşkanımız Erdoğan, Elazığ’ın Mustafa Paşa mahallesinde incelemelerde bulundu",944,2020-01-25 00:00:00,,[],25.01.2020,live_stream,
video_255.mp4,https://www.youtube.com/watch?v=E_EnruFIgk4,"Cumhurbaşkanımız Erdoğan, Elazığ'da deprem bölgesinde incelemelerde bulundu",497,2020-01-25 00:00:00,,[],25.01.2020,live_stream,
video_256.mp4,https://www.youtube.com/watch?v=ISZweoSFBQY,"Cumhurbaşkanımız Erdoğan, Türk-Alman Üniversitesi Yeni Binalarının Açılış Töreni'nde konuştu",1108,2020-01-24 00:00:00,,[],24.01.2020,live_stream,
video_257.mp4,https://www.youtube.com/watch?v=QUk-NlRzwkU,"Cumhurbaşkanımız Erdoğan, Gayrettepe-İstanbul Havalimanı Metro Projesi Töreni'nde konuştu",3396,2020-01-18 00:00:00,,[],18.01.2020,live_stream,
video_258.mp4,https://www.youtube.com/watch?v=7rSaxSfuvtE,"Cumhurbaşkanımız Erdoğan, Akıllı Şehirler ve Belediyeler Kongre ve Sergisi’nde konuştu",1722,2020-01-15 00:00:00,,[],15.01.2020,live_stream,
video_259.mp4,https://www.youtube.com/watch?v=7iliG65D-W4,Engelli Vatandaşlarımızın Kamu Kurumlarına Yerleştirilmesi Töreni,1888,2020-01-09 00:00:00,,[],09.01.2020,live_stream,
video_260.mp4,https://www.youtube.com/watch?v=tmfDBjdKwNA,"Cumhurbaşkanımız Erdoğan, TürkAkım Projesi Açılış Töreni’nde konuştu #TürkAkım",2200,2020-01-08 00:00:00,,"['Adalet ve kalkınma partisi', 'akp', 'ak parti', 'ak party', 'reklam', '31 mart 2019', 'çevre', 'seçim', 'seçim kampanyası', 'recep tayyip Erdoğan', 'çevreye duyarlı kampanya', 'çevreci kampanya']",,,
video_261.mp4,https://www.youtube.com/watch?v=buZEmgd4hus,Milli İstihbarat Teşkilatı Yeni Hizmet Binasının Açılış Töreni,1491,2020-01-06 00:00:00,,[],06.01.2020,live_stream,
video_262.mp4,https://www.youtube.com/watch?v=N53fMhKs1GY,"Cumhurbaşkanımız Erdoğan, Şehir ve Güvenlik Sempozyumu'nda konuştu",1698,2020-01-02 00:00:00,,[],02.01.2020,live_stream,
video_263.mp4,https://www.youtube.com/watch?v=zA84Sg9fUP0,"Cumhurbaşkanımız Erdoğan, ‘TÜBİTAK ve TÜBA Bilim Ödülleri’nde konuştu",1408,2019-12-30 00:00:00,,[],30.12.2019,live_stream,
video_264.mp4,https://www.youtube.com/watch?v=b9zTvr8NWiQ,#TürkiyeninOtomobili Tanıtım Toplantısı... #YeniLigeYolculuk #Yerlioto,5339,2019-12-27 00:00:00,,[],27.12.2019,live_stream,
video_265.mp4,https://www.youtube.com/watch?v=_SroUzkxgFw,"Cumhurbaşkanımız Erdoğan, Prof. Dr. Fuat Sezgin Yılı Kapanış Töreni’nde konuştu",1094,2019-12-23 00:00:00,,[],23.12.2019,live_stream,
video_266.mp4,https://www.youtube.com/watch?v=fCwhT0pJYQk,"Cumhurbaşkanımız Erdoğan, 2019 Necip Fazıl Ödülleri Töreni’nde konuştu",1492,2019-12-21 00:00:00,,[],21.12.2019,live_stream,
video_267.mp4,https://www.youtube.com/watch?v=tfcFIfYVeec,"Cumhurbaşkanımız Erdoğan, 2018 Yılı HİB Ödül Töreni’nde konuştu",1319,2019-12-21 00:00:00,,[],21.12.2019,live_stream,
video_268.mp4,https://www.youtube.com/watch?v=QzyPZx-4MXI,‘Kalkınmanın Önceliği ve Sınamalar’ temalı yuvarlak masa toplantısı,444,2019-12-19 00:00:00,"Cumhurbaşkanımız Erdoğan, ‘Kalkınmanın Önceliği ve Sınamalar’ temalı yuvarlak masa toplantısında konuştu","['Adalet ve kalkınma partisi', 'akp', 'ak parti', 'ak party', 'reklam', '31 mart 2019', 'çevre', 'seçim', 'seçim kampanyası', 'recep tayyip Erdoğan', 'çevreye duyarlı kampanya', 'çevreci kampanya']",,,
video_269.mp4,https://www.youtube.com/watch?v=t3UUjnc3Zdo,"Cumhurbaşkanımız Erdoğan, Kuala Lumpur Zirvesi Açılış Töreni’nde konuştu",1078,2019-12-18 00:00:00,,[],18.12.2019,live_stream,
video_270.mp4,https://www.youtube.com/watch?v=PewbRzWLIws,"Cumhurbaşkanımız Erdoğan, Küresel Mülteci Forumu'nda konuştu",1416,2019-12-17 00:00:00,,[],17.12.2019,live_stream,
video_271.mp4,https://www.youtube.com/watch?v=DDgk0eFA4qQ,"Cumhurbaşkanımız Erdoğan, Cumhurbaşkanlığı Kültür Sanat Büyük Ödülleri Töreni’nde konuştu",1228,2019-12-12 00:00:00,,[],12.12.2019,live_stream,
video_272.mp4,https://www.youtube.com/watch?v=HixlZr_6KwY,Uluslararası Yerel Yönetimlerde 6. Kadın Şurası... #HerDaimBuradayız,4463,2019-12-11 00:00:00,,[],11.12.2019,live_stream,
video_273.mp4,https://www.youtube.com/watch?v=Uv99FWWpezQ,"Cumhurbaşkanımız Erdoğan, “Her İnsan Bir Dünya” temalı programda konuştu",5197,2019-12-10 00:00:00,,[],10.12.2019,live_stream,
video_274.mp4,https://www.youtube.com/watch?v=DZWoz-gxcwM,"Cumhurbaşkanımız Erdoğan, Asya’nın Kalbi İstanbul Süreci Bakanlar Konferansı’nda konuştu",789,2019-12-09 00:00:00,,[],09.12.2019,live_stream,
video_275.mp4,https://www.youtube.com/watch?v=RhkmNl-Iju8,"Cumhurbaşkanımız Erdoğan, İİT Üst Düzey Kamu ve Özel Sektör Yatırım Konferansı’nda konuştu",1605,2019-12-08 00:00:00,,[],08.12.2019,live_stream,
video_276.mp4,https://www.youtube.com/watch?v=XoIWVsNVmLk,İstanbul İl Başkanlığı Genişletilmiş İl Danışma Meclisi Toplantımız...,2889,2019-12-07 00:00:00,,[],07.12.2019,live_stream,
video_277.mp4,https://www.youtube.com/watch?v=3vh5A3gq7wA,"Cumhurbaşkanımız Erdoğan, Cambridge Merkez Camii Açılış Töreni’nde konuştu",1264,2019-12-05 00:00:00,,[],05.12.2019,live_stream,
video_278.mp4,https://www.youtube.com/watch?v=kU9KPeuHhqY,TANAP Avrupa Bağlantısı Açılış Töreni  #TANAPtamam,3171,2019-11-30 00:00:00,,[],30.11.2019,live_stream,
video_279.mp4,https://www.youtube.com/watch?v=CVePzoNu5Oc,Marmara Üniversitesi Recep Tayyip Erdoğan Külliyesi Temel Atma Töreni,2337,2019-11-29 00:00:00,,[],29.11.2019,live_stream,
